id,goal,base_output,steered_output,base_valid,steered_valid,ft_output,ft_valid
10,Find a comedy movie streaming on Netflix and add to watchlist.,"Go to Netflix homepage
Action: Click ""Add to Watchlist""
Action: Scroll down to find a comedy movie
Action: Select a comedy movie from the list
Action: Click ""Add to Watchlist"" button
Action: Add the selected","navigate to https://www.netflix.com/
Action: click on ""Add to Watchlist""
Action: wait for the page to load
Action: find and select the comedy movie from the search results
Action: click on ""Add to Watchlist""",False,False,"{""action"": ""click"", ""target"": ""15453""}",True
11,Book parking spot for James SMith at Stewart Hotel in New York for 2 hours. The street address is 133 st avenue in New York. Zip code is 10001 and phone number is 888888888. The email address is buckeye.foobar@gmail.com. Employer's name is Gua AB.,"Send an email to Buckeye.foobar@gmail.com with the following content:
{
  ""email"": ""buckeye.foobar@gmail.com"",
  ""message"": ""Dear Buckeye.foobar@gmail.com,
I am writing to request a parking spot","{
  ""action"": ""book"",
  ""location"": {
    ""street_address"": ""133 st avenue, New York, NY 10001, USA"",
    ""zip_code"": ""10001"",",False,False,"{""action"": ""click"", ""target"": ""126""}",True
12,Find motorcycle parking near Radio City Music Hall.,"Search for nearby locations using the ""nearby"" API endpoint.
{
  ""location"": {
    ""latitude"": -33.8687,
    ""longitude"": 151.2090
  },
  ""","Search for ""motorcycle parking"" in the search bar and click on ""radio city music hall"".
{""action"": ""search"", ""query"": ""motorcycle parking radio city music hall"", ""click"": true}",False,True,"{""action"": ""click"", ""target"": ""123""}",True
13,Browse events happening at Madison Square Garden.,"Use JavaScript to navigate to the event page and click on ""Events"".
{
  ""event_page_url"": ""https://www.eventbriteapi.com/v3/events/"",
  ""click_event_button"": ""events"",
  ""event_selector"": "".event","Open Google Maps and search for ""Madison Square Garden"".
{
  ""event"": {
    ""type"": ""browse"",
    ""location"": {
      ""lat"": -25,
      ""lng"": 139
    },",False,False,"{""action"": ""click"", ""target"": ""108""}",True
14,Find parking in New York City from June 5th to 9th.,"Search for parking services on Google Maps API
{
  ""query"": {
    ""location"": {
      ""lat"": -34,
      ""lng"": 151
    },
    ""date_range"": {
      ""start_date"":","Search for ""parking"" using the query string parameter
{""query"": ""parking""}",False,True,"{""action"": ""click"", ""target"": ""197""}",True
15,Get quote for Amtrak vacation for two adults across country while leaving from Chicago on the 22nd of April. It should include Deluxe bedroom. The passenger is named John Mark with email address of johnmark@gmail.com and phone number of 234567890.,"Search for Amtrak vacation packages
{
  ""query"": {
    ""type"": ""vacation"",
    ""date"": ""2023-04-22"",
    ""country"": ""US"",
    ""adults"":","{
  ""query"": {
    ""name"": ""John Mark"",
    ""email"": ""johnmark@gmail.com"",
    ""phone"": ""234567890"",
    ""destination"": ""Chicago, IL"",
    """,False,False,"{""action"": ""click"", ""target"": ""169""}",True
16,See today's deals on video games and find the best deal on the lowest-priced mouse.,"Navigate to the ""Today's Deals"" section of the website.
{
  ""url"": ""https://www.example.com/today-deals""
}
}","Navigate to the ""Today's Deals"" section of the website.
{
  ""url"": ""https://www.example.com/today-deals""
}",False,True,"{""action"": ""click"", ""target"": ""85""}",True
17,Find Metformin 1000mg tablet price and details.,"Use search engine to find information about metformin tablets
{
  ""query"": ""metformin tablets"",
  ""search_engine"": ""Google""
}","Open Google Chrome Web Browser
{
  ""action"": ""Open""
}",True,True,"{""action"": ""click"", ""target"": ""146""}",True
18,Add a pair of diamond stud earrings to the cart.,"Click on the ""Add to Cart"" button
{","Click on the ""Add to Cart"" button
{",False,False,"{""action"": ""click"", ""target"": ""124""}",True
19,Find men's running shoes of size 9 with lowest price and add to bag.,"```json
{
  ""action"": ""find"",
  ""query"": {
    ""size"": ""9"",
    ""price"": null,
    ""sort_by"": ""price""
  },
  ""target"": {
    ""type"": ""","Open search bar
{
  ""query"": ""men's running shoes, size 9, price, lowest""
}",False,True,"{""action"": ""click"", ""target"": ""190""}",True
